# [No.1] construct_wrapper.112
# In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(62)/
funcgraph fg_112(
        %para1 : Tensor(F64)[4, 128]    # q
        , %para86 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.4.attention.self_attn.key.bias
        , %para87 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.4.attention.self_attn.value.weight
        , %para88 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.4.attention.self_attn.value.bias
        , %para89 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.4.attention.output.dense.weight
        , %para90 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.4.attention.output.dense.bias
        , %para91 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.4.attention.output.layer_norm.gamma
        , %para92 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.4.attention.output.layer_norm.beta
        , %para93 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.4.intermediate.dense.weight
        , %para94 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.4.intermediate.dense.bias
        , %para95 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.4.output.dense.weight
        , %para96 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.4.output.dense.bias
        , %para97 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.4.output.layer_norm.gamma
        , %para98 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.4.output.layer_norm.beta
        , %para99 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.5.attention.self_attn.query.weight
        , %para100 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.5.attention.self_attn.query.bias
        , %para101 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.5.attention.self_attn.key.weight
        , %para102 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.5.attention.self_attn.key.bias
        , %para103 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.5.attention.self_attn.value.weight
        , %para104 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.5.attention.self_attn.value.bias
        , %para105 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.5.attention.output.dense.weight
        , %para106 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.5.attention.output.dense.bias
        , %para107 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.5.attention.output.layer_norm.gamma
        , %para108 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.5.attention.output.layer_norm.beta
        , %para109 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.5.intermediate.dense.weight
        , %para110 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.5.intermediate.dense.bias
        , %para111 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.5.output.dense.weight
        , %para112 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.5.output.dense.bias
        , %para113 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.5.output.layer_norm.gamma
        , %para114 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.5.output.layer_norm.beta
        , %para115 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.6.attention.self_attn.query.weight
        , %para116 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.6.attention.self_attn.query.bias
        , %para117 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.6.attention.self_attn.key.weight
        , %para118 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.6.attention.self_attn.key.bias
        , %para119 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.6.attention.self_attn.value.weight
        , %para120 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.6.attention.self_attn.value.bias
        , %para121 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.6.attention.output.dense.weight
        , %para122 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.6.attention.output.dense.bias
        , %para123 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.6.attention.output.layer_norm.gamma
        , %para124 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.6.attention.output.layer_norm.beta
        , %para125 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.6.intermediate.dense.weight
        , %para126 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.6.intermediate.dense.bias
        , %para127 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.6.output.dense.weight
        , %para128 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.6.output.dense.bias
        , %para129 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.6.output.layer_norm.gamma
        , %para130 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.6.output.layer_norm.beta
        , %para131 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.7.attention.self_attn.query.weight
        , %para132 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.7.attention.self_attn.query.bias
        , %para133 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.7.attention.self_attn.key.weight
        , %para134 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.7.attention.self_attn.key.bias
        , %para135 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.7.attention.self_attn.value.weight
        , %para136 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.7.attention.self_attn.value.bias
        , %para137 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.7.attention.output.dense.weight
        , %para138 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.7.attention.output.dense.bias
        , %para139 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.7.attention.output.layer_norm.gamma
        , %para140 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.7.attention.output.layer_norm.beta
        , %para141 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.7.intermediate.dense.weight
        , %para142 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.7.intermediate.dense.bias
        , %para143 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.7.output.dense.weight
        , %para144 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.7.output.dense.bias
        , %para145 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.7.output.layer_norm.gamma
        , %para146 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.7.output.layer_norm.beta
        , %para147 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.8.attention.self_attn.query.weight
        , %para148 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.8.attention.self_attn.query.bias
        , %para149 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.8.attention.self_attn.key.weight
        , %para150 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.8.attention.self_attn.key.bias
        , %para151 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.8.attention.self_attn.value.weight
        , %para152 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.8.attention.self_attn.value.bias
        , %para153 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.8.attention.output.dense.weight
        , %para154 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.8.attention.output.dense.bias
        , %para155 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.8.attention.output.layer_norm.gamma
        , %para156 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.8.attention.output.layer_norm.beta
        , %para157 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.8.intermediate.dense.weight
        , %para158 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.8.intermediate.dense.bias
        , %para159 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.8.output.dense.weight
        , %para160 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.8.output.dense.bias
        , %para161 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.8.output.layer_norm.gamma
        , %para162 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.8.output.layer_norm.beta
        , %para163 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.9.attention.self_attn.query.weight
        , %para164 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.9.attention.self_attn.query.bias
        , %para165 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.9.attention.self_attn.key.weight
        , %para166 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.9.attention.self_attn.key.bias
        , %para167 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.9.attention.self_attn.value.weight
        , %para168 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.9.attention.self_attn.value.bias
        , %para169 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.9.attention.output.dense.weight
        , %para170 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.9.attention.output.dense.bias
        , %para171 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.9.attention.output.layer_norm.gamma
        , %para172 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.9.attention.output.layer_norm.beta
        , %para173 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.9.intermediate.dense.weight
        , %para174 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.9.intermediate.dense.bias
        , %para175 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.9.output.dense.weight
        , %para176 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.9.output.dense.bias
        , %para177 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.9.output.layer_norm.gamma
        , %para178 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.9.output.layer_norm.beta
        , %para179 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.10.attention.self_attn.query.weight
        , %para180 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.10.attention.self_attn.query.bias
        , %para181 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.10.attention.self_attn.key.weight
        , %para182 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.10.attention.self_attn.key.bias
        , %para183 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.10.attention.self_attn.value.weight
        , %para184 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.10.attention.self_attn.value.bias
        , %para185 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.10.attention.output.dense.weight
        , %para186 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.10.attention.output.dense.bias
        , %para187 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.10.attention.output.layer_norm.gamma
        , %para188 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.10.attention.output.layer_norm.beta
        , %para189 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.10.intermediate.dense.weight
        , %para190 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.10.intermediate.dense.bias
        , %para191 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.10.output.dense.weight
        , %para192 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.10.output.dense.bias
        , %para193 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.10.output.layer_norm.gamma
        , %para194 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.10.output.layer_norm.beta
        , %para195 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.11.attention.self_attn.query.weight
        , %para196 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.11.attention.self_attn.query.bias
        , %para197 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.11.attention.self_attn.key.weight
        , %para198 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.11.attention.self_attn.key.bias
        , %para199 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.11.attention.self_attn.value.weight
        , %para200 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.11.attention.self_attn.value.bias
        , %para201 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.encoder.layer.11.attention.output.dense.weight
        , %para202 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.11.attention.output.dense.bias
        , %para203 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.11.attention.output.layer_norm.gamma
        , %para204 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.11.attention.output.layer_norm.beta
        , %para205 : Ref[Tensor(F32)][3072, 768]    # net.ques_channel.encoder.layer.11.intermediate.dense.weight
        , %para206 : Ref[Tensor(F32)][3072]    # net.ques_channel.encoder.layer.11.intermediate.dense.bias
        , %para207 : Ref[Tensor(F32)][768, 3072]    # net.ques_channel.encoder.layer.11.output.dense.weight
        , %para208 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.11.output.dense.bias
        , %para209 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.11.output.layer_norm.gamma
        , %para210 : Ref[Tensor(F32)][768]    # net.ques_channel.encoder.layer.11.output.layer_norm.beta
        , %para211 : Ref[Tensor(F32)][768, 768]    # net.ques_channel.pooler.dense.weight
        , %para212 : Ref[Tensor(F32)][768]    # net.ques_channel.pooler.dense.bias
        , %para213 : Ref[Tensor(F32)][512, 768]    # net.san.0.ff_image.weight
        , %para214 : Ref[Tensor(F32)][512]    # net.san.0.ff_image.bias
        , %para215 : Ref[Tensor(F32)][512, 768]    # net.san.0.ff_ques.weight
        , %para216 : Ref[Tensor(F32)][512]    # net.san.0.ff_ques.bias
        , %para217 : Ref[Tensor(F32)][1, 512]    # net.san.0.ff_attention.weight
        , %para218 : Ref[Tensor(F32)][1]    # net.san.0.ff_attention.bias
        , %para219 : Ref[Tensor(F32)][17625, 768]    # net.mlp.1.weight
        , %para220 : Ref[Tensor(F32)][17625]    # net.mlp.1.bias
        , %para221 : Ref[Tensor(F32)][1]    # beta1_power
        , %para222 : Ref[Tensor(F32)][1]    # beta2_power
        , %para223 : Ref[Tensor(F32)][64, 3, 3, 3]    # moment1.image_channel.simple_cnn.0.weight
        , %para224 : Ref[Tensor(F32)][64]    # moment1.image_channel.simple_cnn.1.gamma
        , %para225 : Ref[Tensor(F32)][64]    # moment1.image_channel.simple_cnn.1.beta
        , %para226 : Ref[Tensor(F32)][128, 64, 3, 3]    # moment1.image_channel.simple_cnn.4.weight
        , %para227 : Ref[Tensor(F32)][128]    # moment1.image_channel.simple_cnn.5.gamma
        , %para228 : Ref[Tensor(F32)][128]    # moment1.image_channel.simple_cnn.5.beta
        , %para229 : Ref[Tensor(F32)][256, 128, 3, 3]    # moment1.image_channel.simple_cnn.8.weight
        , %para230 : Ref[Tensor(F32)][256]    # moment1.image_channel.simple_cnn.9.gamma
        , %para231 : Ref[Tensor(F32)][256]    # moment1.image_channel.simple_cnn.9.beta
        , %para232 : Ref[Tensor(F32)][768, 256, 3, 3]    # moment1.image_channel.simple_cnn.12.weight
        , %para233 : Ref[Tensor(F32)][30522, 768]    # moment1.ques_channel.embeddings.word_embeddings.embedding_table
        , %para234 : Ref[Tensor(F32)][512, 768]    # moment1.ques_channel.embeddings.position_embeddings.embedding_table
        , %para235 : Ref[Tensor(F32)][2, 768]    # moment1.ques_channel.embeddings.token_type_embeddings.embedding_table
        , %para236 : Ref[Tensor(F32)][768]    # moment1.ques_channel.embeddings.layer_norm.gamma
        , %para237 : Ref[Tensor(F32)][768]    # moment1.ques_channel.embeddings.layer_norm.beta
        , %para238 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.0.attention.self_attn.query.weight
        , %para239 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.0.attention.self_attn.query.bias
        , %para240 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.0.attention.self_attn.key.weight
        , %para241 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.0.attention.self_attn.key.bias
        , %para242 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.0.attention.self_attn.value.weight
        , %para243 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.0.attention.self_attn.value.bias
        , %para244 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.0.attention.output.dense.weight
        , %para245 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.0.attention.output.dense.bias
        , %para246 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.0.attention.output.layer_norm.gamma
        , %para247 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.0.attention.output.layer_norm.beta
        , %para248 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.0.intermediate.dense.weight
        , %para249 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.0.intermediate.dense.bias
        , %para250 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.0.output.dense.weight
        , %para251 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.0.output.dense.bias
        , %para252 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.0.output.layer_norm.gamma
        , %para253 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.0.output.layer_norm.beta
        , %para254 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.1.attention.self_attn.query.weight
        , %para255 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.1.attention.self_attn.query.bias
        , %para256 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.1.attention.self_attn.key.weight
        , %para257 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.1.attention.self_attn.key.bias
        , %para258 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.1.attention.self_attn.value.weight
        , %para259 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.1.attention.self_attn.value.bias
        , %para260 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.1.attention.output.dense.weight
        , %para261 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.1.attention.output.dense.bias
